Date,BTC,US20Y
2017-01-03,1043.839966,2.780000
2017-01-04,1154.729980,2.780000
2017-01-05,1013.380005,2.690000
2017-01-06,902.200989,2.730000
2017-01-09,902.828003,2.690000
2017-01-10,907.679016,2.690000
2017-01-11,777.757019,2.680000
2017-01-12,804.833984,2.680000
2017-01-13,823.984009,2.710000
2017-01-17,907.937988,2.660000
2017-01-18,886.617981,2.740000
2017-01-19,899.072998,2.770000
2017-01-20,895.026001,2.790000
2017-01-23,921.012024,2.720000
2017-01-24,892.687012,2.780000
2017-01-25,901.541992,2.840000
2017-01-26,917.585999,2.820000
2017-01-27,919.750000,2.800000
2017-01-30,920.382019,2.820000
2017-01-31,970.403015,2.780000
2017-02-01,989.023010,2.800000
2017-02-02,1011.799988,2.800000
2017-02-03,1029.910034,2.820000
2017-02-06,1038.150024,2.760000
2017-02-07,1061.349976,2.740000
2017-02-08,1063.069946,2.680000
2017-02-09,994.382996,2.740000
2017-02-10,988.674011,2.750000
2017-02-13,990.642029,2.770000
2017-02-14,1004.549988,2.810000
2017-02-15,1007.479980,2.840000
2017-02-16,1027.439941,2.800000
2017-02-17,1046.209961,2.780000
2017-02-21,1115.300049,2.780000
2017-02-22,1117.439941,2.780000
2017-02-23,1166.719971,2.750000
2017-02-24,1173.680054,2.690000
2017-02-27,1179.969971,2.720000
2017-02-28,1179.969971,2.700000
2017-03-01,1222.500000,2.810000
2017-03-02,1251.010010,2.840000
2017-03-03,1274.989990,2.830000
2017-03-06,1272.829956,2.840000
2017-03-07,1223.540039,2.850000
2017-03-08,1150.000000,2.890000
2017-03-09,1188.489990,2.940000
2017-03-10,1116.719971,2.940000
2017-03-13,1231.920044,2.970000
2017-03-14,1240.000000,2.940000
2017-03-15,1249.609985,2.870000
2017-03-16,1187.810059,2.890000
2017-03-17,1100.229980,2.860000
2017-03-20,1054.229980,2.830000
2017-03-21,1120.540039,2.790000
2017-03-22,1049.140015,2.760000
2017-03-23,1038.589966,2.760000
2017-03-24,937.520020,2.740000
2017-03-27,1045.770020,2.730000
2017-03-28,1047.150024,2.770000
2017-03-29,1039.969971,2.740000
2017-03-30,1026.430054,2.780000
2017-03-31,1071.790039,2.760000
2017-04-03,1143.810059,2.710000
2017-04-04,1133.250000,2.720000
2017-04-05,1124.780029,2.710000
2017-04-06,1182.680054,2.720000
2017-04-07,1176.900024,2.740000
2017-04-10,1187.130005,2.720000
2017-04-11,1205.010010,2.670000
2017-04-12,1200.369995,2.650000
2017-04-13,1169.280029,2.620000
2017-04-17,1193.910034,2.650000
2017-04-18,1211.670044,2.560000
2017-04-19,1210.290039,2.590000
2017-04-20,1229.079956,2.610000
2017-04-21,1222.050049,2.610000
