Date,BTC,US20Y
2017-01-06,902.200989,2.730000
2017-01-13,823.984009,2.710000
2017-01-20,895.026001,2.790000
2017-01-27,919.750000,2.800000
2017-02-03,1029.910034,2.820000
2017-02-10,988.674011,2.750000
2017-02-17,1046.209961,2.780000
2017-02-24,1173.680054,2.690000
2017-03-03,1274.989990,2.830000
2017-03-10,1116.719971,2.940000
2017-03-17,1100.229980,2.860000
2017-03-24,937.520020,2.740000
2017-03-31,1071.790039,2.760000
2017-04-07,1176.900024,2.740000
2017-04-14,1167.540039,2.620000
2017-04-21,1222.050049,2.610000
2017-04-28,1316.479980,2.670000
2017-05-05,1555.449951,2.730000
2017-05-12,1724.239990,2.740000
2017-05-19,1987.709961,2.630000
2017-05-26,2202.419922,2.650000
2017-06-02,2488.550049,2.530000
2017-06-09,2823.810059,2.590000
2017-06-16,2518.560059,2.520000
2017-06-23,2744.909912,2.480000
2017-06-30,2480.840088,2.610000
2017-07-07,2518.659912,2.710000
2017-07-14,2233.340088,2.670000
2017-07-21,2667.760010,2.570000
2017-07-28,2809.010010,2.650000
2017-08-04,2895.889893,2.610000
2017-08-11,3650.620117,2.550000
2017-08-18,4160.620117,2.540000
2017-08-25,4371.600098,2.510000
2017-09-01,4892.009766,2.510000
2017-09-08,4228.750000,2.410000
2017-09-15,3637.520020,2.520000
2017-09-22,3630.699951,2.570000
2017-09-29,4163.069824,2.630000
2017-10-06,4370.810059,2.680000
2017-10-13,5647.209961,2.580000
2017-10-20,6011.450195,2.670000
2017-10-27,5780.899902,2.710000
2017-11-03,7207.759766,2.590000
2017-11-10,6618.140137,2.670000
2017-11-17,7708.990234,2.590000
2017-11-24,8253.690430,2.580000
2017-12-01,10975.599609,2.580000
2017-12-08,16569.400391,2.590000
2017-12-15,17706.900391,2.520000
2017-12-22,13831.799805,2.680000
2017-12-29,14656.200195,2.580000
2018-01-05,17429.500000,2.640000
2018-01-12,13980.599609,2.710000
2018-01-19,11607.400391,2.780000
2018-01-26,11171.400391,2.790000
2018-02-02,8830.750000,2.970000
2018-02-09,8736.980469,3.020000
2018-02-16,10233.900391,3.020000
2018-02-23,10301.099609,3.040000
2018-03-02,11086.400391,3.020000
2018-03-09,9337.549805,3.040000
2018-03-16,8338.349609,2.960000
2018-03-23,8879.620117,2.940000
2018-03-30,6890.520020,2.850000
2018-04-06,6636.319824,2.890000
2018-04-13,7895.959961,2.910000
2018-04-20,8845.830078,3.040000
2018-04-27,8987.049805,3.030000
2018-05-04,9700.759766,3.020000
2018-05-11,8441.490234,3.030000
2018-05-18,8250.969727,3.140000
2018-05-25,7480.140137,3.010000
2018-06-01,7541.450195,2.960000
2018-06-08,7624.919922,3.000000
2018-06-15,6456.580078,2.980000
2018-06-22,6083.689941,2.970000
2018-06-29,6218.299805,2.910000
2018-07-06,6673.500000,2.870000
2018-07-13,6238.049805,2.870000
2018-07-20,7354.129883,2.960000
2018-07-27,8165.009766,3.030000
2018-08-03,7434.390137,3.030000
2018-08-10,6184.709961,2.960000
2018-08-17,6580.629883,2.950000
2018-08-24,6719.959961,2.890000
2018-08-31,7037.580078,2.950000
2018-09-07,6467.069824,3.030000
2018-09-14,6512.709961,3.070000
2018-09-21,6734.950195,3.140000
2018-09-28,6644.129883,3.130000
2018-10-05,6622.479980,3.340000
2018-10-12,6274.580078,3.250000
2018-10-19,6465.410156,3.310000
2018-10-26,6474.750000,3.230000
2018-11-02,6388.439941,3.370000
2018-11-09,6385.620117,3.320000
2018-11-16,5575.549805,3.230000
2018-11-23,4347.109863,3.210000
2018-11-30,4017.268555,3.190000
2018-12-07,3419.937256,3.010000
2018-12-14,3242.484863,3.030000
2018-12-21,3896.543701,2.920000
2018-12-28,3923.918701,2.890000
2019-01-04,3857.717529,2.830000
2019-01-11,3687.365479,2.900000
2019-01-18,3657.839355,2.950000
2019-01-25,3599.765869,2.920000
2019-02-01,3487.945312,2.880000
2019-02-08,3666.780273,2.820000
2019-02-15,3620.810791,2.840000
2019-02-22,4005.526611,2.860000
2019-03-01,3859.583740,2.970000
2019-03-08,3901.131592,2.830000
2019-03-15,3960.911133,2.830000
2019-03-22,4023.968262,2.690000
2019-03-29,4098.374512,2.630000
2019-04-05,5036.681152,2.720000
2019-04-12,5089.539062,2.780000
2019-04-19,5303.812500,2.780000
2019-04-26,5279.348145,2.740000
2019-05-03,5768.289551,2.750000
2019-05-10,6378.849121,2.700000
2019-05-17,7343.895508,2.630000
2019-05-24,7987.371582,2.570000
2019-05-31,8574.501953,2.390000
2019-06-07,8043.951172,2.360000
2019-06-14,8693.833008,2.380000
2019-06-21,10144.556641,2.370000
2019-06-28,12407.332031,2.310000
2019-07-05,10978.459961,2.340000
2019-07-12,11815.986328,2.420000
2019-07-19,10530.732422,2.350000
2019-07-26,9870.303711,2.380000
2019-08-02,10518.174805,2.160000
2019-08-09,11862.936523,2.030000
2019-08-16,10374.338867,1.820000
2019-08-23,10407.964844,1.820000
2019-08-30,9598.173828,1.780000
2019-09-06,10353.302734,1.830000
2019-09-13,10360.546875,2.170000
2019-09-20,10181.641602,1.990000
2019-09-27,8251.845703,1.950000
2019-10-04,8205.939453,1.810000
2019-10-11,8321.756836,2.040000
2019-10-18,7973.207520,2.060000
2019-10-25,8660.700195,2.100000
2019-11-01,9261.104492,2.030000
2019-11-08,8804.880859,2.270000
2019-11-15,8491.992188,2.160000
2019-11-22,7296.577637,2.080000
2019-11-29,7761.243652,2.070000
2019-12-06,7546.996582,2.140000
2019-12-13,7269.684570,2.110000
2019-12-20,7218.816406,2.210000
2019-12-27,7290.088379,2.180000
2020-01-03,7344.884277,2.110000
2020-01-10,8166.554199,2.140000
2020-01-17,8929.038086,2.160000
2020-01-24,8445.434570,2.000000
2020-01-31,9350.529297,1.830000
2020-02-07,9795.943359,1.890000
2020-02-14,10312.116211,1.890000
2020-02-21,9686.441406,1.750000
2020-02-28,8672.455078,1.460000
2020-03-06,9122.545898,1.090000
2020-03-13,5563.707031,1.310000
2020-03-20,6198.778320,1.350000
2020-03-27,6469.798340,1.090000
2020-04-03,6733.387207,1.050000
2020-04-10,6865.493164,1.150000
2020-04-17,7096.184570,1.080000
2020-04-24,7550.900879,0.980000
